(-2.20, 0.04)
(-1.17, -2.21)
(-4.23, -2.09)
(-2.01, -1.21)
(0.94, -1.57)
(-2.57, -1.48)
(1.03, 1.85)
(0.30, -0.63)
(1.05, -0.88)
(0.20, -1.59)
(-0.11, -2.39)
(1.42, 1.40)
(1.50, 2.08)
(0.43, 1.81)
(0.49, -0.19)
(-1.35, -0.95)
(-2.55, -0.83)
(2.20, 1.80)
(-1.75, -1.94)
(1.50, 3.79)
(-1.77, -0.16)
(-2.42, -0.28)
(1.32, 2.41)
(1.93, -0.61)
(1.14, -0.46)
(0.80, 0.50)
(-0.59, -0.59)
(0.40, 0.41)
(-0.85, 0.79)
(-1.65, -0.52)
(-1.94, -0.84)
(0.59, 0.29)
(-2.85, -1.40)
(-1.91, -0.35)
(-0.46, -0.02)
(-0.72, -0.36)
(1.54, -0.26)
(0.01, -0.83)
(-1.06, -0.55)
(-0.02, -2.07)
(0.71, 0.80)
(-0.42, 0.27)
(-0.40, -2.28)
(0.43, 1.21)
(1.09, -0.12)
(-2.17, -1.96)
(-2.23, -1.27)
(-1.29, -1.46)
(0.50, 2.23)
(-0.94, -2.47)
(-0.96, 3.61)
(-0.74, -1.97)
(-0.45, 0.57)
(-1.45, -1.08)
(1.84, 0.59)
(-1.39, -0.59)
(0.38, -0.17)
(2.30, 0.41)
(0.50, 1.10)
(-0.88, -2.04)
(-1.17, -1.19)
(-0.82, 0.27)
(-1.20, -3.20)
(-0.39, 0.61)
(0.52, 0.80)
(0.68, 1.82)
(-0.23, -0.22)
(-0.46, -1.09)
(-1.69, 0.28)
(-0.24, 1.21)
(-0.97, -0.69)
(2.67, 1.12)
(0.05, 1.85)
(-2.16, -0.96)
(-0.89, -1.25)
(-2.03, -1.32)
(1.72, 1.77)
(-0.16, 3.38)
(-0.83, -1.30)
(-0.17, -1.69)
(1.88, 1.44)
(-0.50, -1.40)
(1.80, 0.33)
(1.79, 1.29)
(-0.63, 2.53)
(-0.56, 2.92)
(0.35, 3.62)
(-0.71, -1.78)
(-2.77, -1.42)
(1.65, 0.68)
(0.51, -0.84)
(2.15, -0.15)
(-1.67, -1.40)
(-0.42, -1.78)
(1.55, 0.58)
(-1.35, -0.73)
(1.47, 2.85)
(1.91, 0.76)
(-0.76, -0.90)
(-1.35, -1.17)
(-0.16, 1.54)
(1.13, -0.44)
(2.41, -0.66)
(-0.08, 1.23)
(1.15, 3.30)
(-0.86, -2.91)
(-1.85, -1.76)
(-0.92, 1.11)
(0.72, 2.17)
(1.49, 2.03)
(-1.38, -0.57)
(0.10, 1.63)
(0.81, 1.29)
(1.39, 1.19)
