(-0.46, 0.83)
(-0.14, -0.68)
(0.57, 1.34)
(3.77, -0.35)
(1.73, 0.94)
(0.80, 0.88)
(2.41, 2.42)
(-0.21, 1.72)
(1.49, 2.03)
(-1.30, -0.71)
(-0.11, -2.15)
(0.19, -1.94)
(1.33, 0.25)
(-2.71, -1.10)
(-0.68, -0.69)
(0.97, 0.84)
(0.09, 0.11)
(-0.92, -2.21)
(-1.01, 0.53)
(1.37, 0.77)
(-0.09, 1.03)
(2.10, 2.54)
(-2.49, -1.74)
(3.35, 0.38)
(-1.19, -0.11)
(-0.40, -0.42)
(0.82, 0.80)
(1.29, 1.20)
(0.20, 1.70)
(-1.24, -0.78)
(-0.15, 1.10)
(3.59, 0.33)
(-1.08, -2.93)
(-2.79, -0.16)
(1.10, 0.46)
(0.40, 1.49)
(0.71, -1.19)
(-1.84, 0.35)
(1.96, 1.12)
(-2.96, -1.20)
(3.91, 1.83)
(-2.06, -1.47)
(2.10, 0.72)
(-3.05, -1.35)
(-0.58, 1.51)
(1.03, -0.33)
(1.35, 0.70)
(-1.26, -2.75)
(-1.83, -1.98)
(0.47, -1.00)
(-0.48, -1.02)
(-1.80, 0.02)
(-1.71, 0.35)
(-1.59, -1.29)
(-0.12, 3.53)
(-0.69, -2.26)
(-1.18, -0.21)
(-1.33, -0.45)
(-0.61, -0.55)
(1.18, 0.52)
(-2.36, -0.54)
(0.67, 1.55)
(-0.12, 2.26)
(-1.07, -1.20)
(0.70, 1.02)
(1.83, 2.53)
(0.79, 1.63)
(-0.03, 1.95)
(1.14, 1.52)
(-1.94, -1.16)
(-1.53, 0.68)
(-1.48, -1.71)
(0.81, 0.73)
(0.75, -0.06)
(0.23, -1.23)
(0.56, 0.84)
(0.74, 1.44)
(-2.25, -1.95)
(0.49, 0.68)
(-2.03, 0.54)
(-0.07, 1.93)
(-1.03, -0.82)
(0.92, 2.60)
(-0.96, -1.73)
(-0.77, -0.57)
(-1.24, 1.02)
(3.23, 1.34)
(-2.66, -1.59)
(1.42, -0.67)
(-0.21, 1.07)
(1.33, 2.08)
(-1.65, -0.74)
(-0.32, 1.92)
(0.95, 1.91)
(1.35, 2.25)
(-0.76, -1.69)
(0.19, -2.61)
(-0.95, 2.02)
(-1.00, -1.07)
(-0.42, -3.19)
(1.08, 0.05)
(-0.32, -0.14)
(1.45, 1.10)
(-0.46, -0.10)
(-1.15, 0.01)
(-1.50, -2.27)
(-0.35, -0.17)
(-1.47, -0.86)
(-0.70, -0.60)
(0.82, -1.13)
(-1.63, -2.20)
(-2.43, -1.02)
(1.18, 0.14)
(-0.56, -2.40)
(-0.84, -0.25)
(2.58, 0.52)
(1.66, 1.09)
(-0.68, -1.78)
(2.86, 0.40)
(-0.44, -0.89)
(0.53, 0.88)
(0.14, 1.78)
(-1.23, -2.06)
(0.91, -0.47)
(0.18, 0.91)
(0.10, 0.71)
(-0.84, 2.04)
(1.96, 0.68)
(-0.04, 2.88)
(1.79, 0.12)
(-1.56, -1.31)
(-2.03, -1.91)
(-2.70, -0.39)
(1.70, 1.27)
(-2.48, -2.02)
(-0.89, 0.13)
(2.26, 1.48)
(-0.87, -1.66)
(-0.84, -0.18)
(-1.54, -1.31)
(0.51, 0.82)
(0.94, 1.61)
(2.81, 1.31)
(-1.72, -0.47)
(-0.40, -0.41)
(-0.33, -0.44)
(2.47, 0.67)
(1.55, -0.05)
(-1.75, 0.52)
(0.89, 0.97)
(-1.43, -0.41)
(-1.02, 0.02)
(-1.05, -2.12)
(1.25, 0.01)
(-1.64, 0.81)
(-0.80, -2.52)
(0.41, 1.40)
(1.30, 0.63)
(1.80, 1.12)
(1.41, 0.01)
(0.34, 0.40)
(0.69, 0.87)
(2.05, 0.80)
(0.76, 1.23)
(0.38, 1.27)
(-0.91, 0.73)
(0.26, -0.75)
(1.87, 0.92)
(1.18, 1.29)
(1.44, 1.10)
(-2.17, -2.85)
(-2.09, -1.43)
(0.78, 1.54)
(1.75, 2.78)
(-0.28, -1.33)
(-0.84, 1.07)
(1.23, -1.07)
(1.24, 1.25)
(0.39, -0.22)
(-0.34, -0.03)
(0.58, 0.86)
(-1.30, 0.03)
(0.01, -0.37)
(-1.87, -2.04)
(0.56, 0.59)
(-1.30, 0.14)
(1.97, 0.48)
(-0.03, -1.41)
(1.00, -0.05)
(1.65, 0.64)
(2.42, -0.60)
(2.46, 1.05)
(-0.84, -2.24)
(0.67, 1.71)
(1.41, 0.42)
(-2.64, -1.76)
(-0.48, -1.01)
(-1.01, -1.69)
(1.86, 1.11)
(1.88, 1.18)
(-0.32, 0.17)
(2.01, 1.48)
(1.02, 0.95)
(0.49, 1.00)
(1.15, 2.40)
(1.29, 0.22)
(-0.38, 1.24)
(1.21, 1.88)
(1.92, 1.27)
(-0.57, -2.31)
(2.22, 0.96)
(-0.01, 1.06)
(-2.36, -0.65)
(-1.94, -1.04)
(-3.13, -2.18)
(-0.17, -0.73)
(-0.59, 1.11)
(-1.00, -0.91)
(-0.48, 0.96)
(0.74, -1.43)
(-0.83, -0.62)
(-2.15, 1.02)
(-1.51, -2.32)
(-0.68, -0.86)
(1.78, 1.62)
(0.57, 2.05)
(3.51, 2.06)
(-0.95, -2.29)
(0.24, 0.44)
(-1.56, -1.90)
(-1.16, -0.59)
(1.32, 1.08)
(-1.21, -1.13)
(-2.39, -0.69)
(1.50, 0.11)
(1.12, 2.05)
(-1.28, -1.23)
(-0.31, -0.44)
(-2.53, -2.10)
(-0.94, -1.41)
(-0.36, 1.78)
(-1.09, 0.02)
(1.41, 1.35)
